SimulatedTime(s),RealTime(s)
1,1.089
11,1.08
21,1.093
31,1.111
41,1.105
51,1.114
61,1.114
71,1.126
81,1.132
91,1.136
101,1.142
111,1.148
121,1.16
131,1.145
141,1.166
151,1.176
161,1.178
171,1.18
181,1.186
191,1.193
201,1.197
211,1.207
221,1.209
231,1.215
241,1.242
251,1.223
261,1.228
271,1.235
281,1.233
291,1.247
301,1.248
311,1.258
321,1.253
331,1.252
341,1.266
351,1.28
361,1.283
371,1.289
381,1.313
391,1.321
401,1.329
411,1.358
421,1.349
431,1.361
441,1.362
451,1.542
461,1.347
471,1.365
481,1.348
491,1.36
501,1.359
511,1.364
521,1.374
531,1.374
541,1.373
551,1.382
561,1.382
571,1.398
581,1.422
591,1.404
601,1.411
611,1.423
621,1.417
631,1.434
641,1.427
651,1.438
661,1.436
671,1.448
681,1.453
691,1.462
701,1.461
711,1.466
721,1.48
731,1.476
741,1.493
751,1.484
761,1.487
771,1.495
781,1.503
791,1.547
801,1.605
811,1.562
821,1.555
831,1.594
841,1.583
851,1.568
861,1.588
871,1.561
881,1.572
891,1.566
901,1.583
911,1.575
921,1.605
931,1.602
941,1.587
951,1.649
961,1.61
971,1.631
981,1.621
991,1.608
1001,1.658
1011,1.628
1021,1.608
1031,1.637
1041,1.649
1051,1.645
1061,1.651
1071,1.654
1081,1.706
1091,1.689
1101,1.696
1111,1.541
1121,1.547
1131,1.575
1141,1.702
1151,1.728
1161,2.08
1171,2.76
1181,1.799
1191,2.649
1201,2.988
1211,3.137
1221,1.77
1231,1.749
1241,1.753
1251,1.749
1261,1.762
1271,1.767
1281,1.773
1291,1.815
1301,1.787
1311,1.799
1321,1.795
1331,1.795
1341,1.798
1351,1.816
1361,1.81
1371,1.805
1381,1.819
1391,1.832
1401,1.837
1411,1.838
1421,1.846
1431,1.853
1441,1.868
1451,1.855
1461,1.876
1471,1.895
1481,3.439
1491,2.796
1501,3.235
1511,2.254
1521,1.916
1531,1.906
1541,1.914
1551,1.912
1561,1.931
1571,1.925
1581,1.954
1591,1.934
1601,1.938
1611,1.945
1621,1.961
1631,1.956
1641,1.98
1651,1.976
1661,1.974
1671,1.973
1681,1.985
1691,1.994
1701,1.995
1711,2.025
1721,1.999
1731,2.013
1741,2.015
1751,2.021
1761,4.084
1771,3.591
1781,4.617
1791,2.056
1801,2.061
1811,2.059
1821,2.063
1831,2.068
1841,2.069
1851,2.072
1861,2.077
1871,2.099
1881,2.086
1891,2.092
1901,2.111
1911,2.126
1921,2.114
1931,2.118
1941,2.131
1951,2.13
1961,2.127
1971,2.168
1981,2.165
1991,2.161
2001,2.145
2011,2.219
2021,5.102
2031,5.28
2041,2.175
2051,2.185
2061,2.178
2071,2.196
2081,2.198
2091,2.193
2101,2.21
2111,2.212
2121,2.207
2131,2.192
2141,2.221
2151,2.265
2161,2.322
2171,2.335
2181,2.317
2191,2.298
2201,2.313
2211,2.319
2221,2.312
2231,2.388
2241,2.34
2251,2.483
2261,7.034
2271,4.315
2281,2.347
2291,2.346
2301,2.324
2311,2.359
2321,2.403
2331,2.348
2341,2.337
2351,2.352
2361,2.359
2371,2.381
2381,2.342
2391,2.355
2401,2.49
2411,2.415
2421,2.376
2431,2.396
2441,2.392
2451,2.416
2461,2.409
2471,2.405
2481,6.012
2491,5.65
2501,2.414
2511,2.425
2521,2.432
2531,2.455
2541,2.431
2551,2.452
2561,2.448
2571,2.473
2581,2.469
2591,2.466
2601,2.46
2611,2.486
2621,2.479
2631,2.592
2641,2.543
2651,2.524
2661,2.507
2671,2.516
2681,2.508
2691,3.084
2701,7.62
2711,3.107
2721,2.538
2731,2.54
2741,2.545
2751,2.551
2761,2.573
2771,2.564
2781,2.57
2791,2.572
2801,2.593
2811,2.605
2821,2.601
2831,2.589
2841,2.602
2851,2.632
2861,2.611
2871,2.625
2881,2.638
2891,2.632
2901,5.792
2911,7.081
2921,2.638
2931,2.661
2941,2.67
2951,2.667
2961,2.672
2971,2.662
2981,2.678
2991,2.68
3001,2.681
3011,2.685
3021,2.718
3031,2.703
3041,2.703
3051,2.703
3061,2.712
3071,2.72
3081,2.738
3091,2.805
3101,9.208
3111,3.496
3121,2.757
3131,2.778
3141,2.755
3151,2.76
3161,2.78
3171,2.781
3181,2.786
3191,2.789
3201,2.799
3211,2.803
3221,2.805
3231,2.816
3241,2.84
3251,2.899
3261,2.816
3271,2.835
3281,2.911
3291,9.543
3301,2.937
3311,2.86
3321,2.854
3331,2.868
3341,2.875
3351,2.881
3361,2.912
3371,2.886
3381,2.879
3391,2.906
3401,2.905
3411,2.899
3421,2.908
3431,2.911
3441,2.938
3451,2.933
3461,2.971
3471,9.808
3481,3.552
3491,2.951
3501,2.963
3511,2.956
3521,2.99
3531,2.972
3541,2.98
3551,3.003
3561,2.982
3571,3.006
3581,3.004
3591,3.004
