SimulatedTime(s),RealTime(s)
0,1.087
60,1.118
120,1.155
180,1.185
240,1.221
300,1.257
360,1.292
420,1.333
480,1.366
540,1.379
600,1.417
660,1.512
720,1.524
780,1.501
840,1.537
900,1.578
960,1.622
1020,1.644
1080,1.697
1140,1.712
1200,1.785
1260,1.787
1320,1.812
1380,1.869
1440,1.91
1500,1.935
1560,1.969
1620,2.034
1680,2.139
1740,2.112
1800,2.301
1860,5.701
1920,5.462
1980,2.46
2040,2.259
2100,2.222
2160,2.301
2220,2.294
2280,2.351
2340,2.45
2400,2.466
2460,2.451
2520,2.485
2580,2.495
2640,2.579
2700,2.699
2760,2.634
2820,2.603
2880,2.665
2940,2.804
3000,2.709
3060,2.948
3120,9.722
3180,4.355
3240,2.919
3300,3.205
3360,3.077
3420,3.127
3480,2.974
3540,3.056
3600,3.097
3660,3.15
3720,3.152
3780,3.221
3840,3.46
3900,3.61
3960,3.469
4020,3.251
4080,9.36
4140,5.972
4200,3.432
4260,3.557
4320,3.475
4380,3.465
4440,3.578
4500,3.483
4560,3.504
4620,3.673
4680,3.668
4740,3.765
4800,3.82
4860,3.695
4920,3.823
4980,11.883
5040,3.843
5100,3.907
5160,3.871
5220,3.872
5280,3.877
5340,3.89
5400,3.989
5460,3.97
5520,4.009
5580,4.2
5640,4.174
5700,4.451
5760,13.022
5820,4.159
5880,4.185
5940,4.195
6000,4.298
6060,4.23
6120,4.297
6180,4.304
6240,4.399
6300,4.417
6360,4.499
6420,7.983
6480,10.344
6540,4.638
6600,4.773
6660,4.724
6720,4.599
6780,4.587
6840,4.741
6900,4.852
6960,4.88
7020,4.789
7080,14.258
7140,4.795
7200,5.111
7260,5.36
7320,5.482
7380,5.025
7440,5.14
7500,5.03
7560,5.003
7620,5.116
7680,14.549
7740,5.121
7800,5.186
7860,5.226
7920,5.286
7980,5.271
8040,5.355
8100,5.402
8160,5.477
8220,5.904
8280,15.366
8340,5.405
8400,5.545
8460,5.501
8520,5.479
8580,5.512
8640,5.553
8700,5.639
8760,5.705
8820,14.339
8880,5.678
8940,5.745
9000,5.872
9060,5.846
9120,5.882
9180,5.923
9240,5.949
9300,10.569
9360,9.192
9420,6.038
9480,5.98
9540,6.019
9600,6.037
9660,6.153
9720,6.111
9780,6.156
9840,15.573
9900,6.172
9960,6.246
10020,6.329
10080,6.278
10140,6.339
10200,6.458
10260,6.413
10320,15.949
10380,6.505
10440,6.49
10500,6.601
10560,6.629
10620,6.609
10680,6.61
10740,6.805
10800,15.984
10860,6.815
10920,6.745
10980,6.778
11040,6.832
11100,6.819
11160,6.922
11220,16.225
11280,6.941
11340,7.069
11400,6.997
11460,7.019
11520,7.084
11580,7.117
11640,15.848
11700,7.116
11760,7.297
11820,7.201
11880,7.227
11940,7.347
12000,7.329
12060,13.825
12120,8.892
12180,7.457
12240,7.422
12300,7.437
12360,7.553
12420,7.524
12480,15.505
12540,8.084
12600,7.601
12660,7.623
12720,7.685
12780,7.746
12840,7.738
12900,17.811
12960,7.884
13020,7.864
13080,7.826
13140,7.873
13200,7.961
13260,14.615
13320,9.642
13380,8.006
13440,8.003
13500,8.196
13560,8.083
13620,8.178
13680,17.432
13740,8.179
13800,8.232
13860,8.334
13920,8.298
13980,8.312
14040,17.72
14100,8.364
14160,8.464
14220,8.514
14280,8.447
14340,8.575
14400,17.669
14460,8.595
14520,8.661
14580,8.65
14640,8.71
14700,8.759
14760,17.99
14820,8.73
14880,8.83
14940,8.844
15000,8.812
15060,9.049
15120,17.269
15180,8.971
15240,9.045
15300,9.029
15360,9.054
15420,18.62
15480,9.212
15540,9.241
15600,9.236
15660,9.257
15720,9.311
15780,18.487
15840,9.422
15900,9.397
15960,9.403
16020,9.446
16080,19.23
16140,9.523
16200,9.54
16260,9.573
16320,9.581
16380,18.609
16440,10.071
16500,10.417
16560,9.708
16620,9.748
16680,11.403
16740,16.638
16800,9.866
16860,9.86
16920,9.889
16980,9.971
17040,19.697
17100,9.997
17160,10.008
17220,10.066
17280,10.059
17340,19.811
17400,10.161
17460,10.129
17520,10.201
17580,10.249
17640,19.912
17700,10.325
17760,10.574
17820,10.376
17880,10.802
17940,18.556
18000,10.538
18060,10.477
18120,10.548
18180,16.637
18240,13.056
18300,10.612
18360,10.66
18420,10.66
18480,20.329
18540,10.735
18600,10.747
18660,10.813
18720,10.826
18780,20.602
18840,10.941
18900,10.953
18960,10.975
19020,11.79
19080,18.773
19140,11.049
19200,11.08
19260,11.277
19320,22.292
19380,11.207
19440,11.248
19500,11.26
19560,17.091
19620,15.74
19680,11.63
19740,11.614
19800,11.799
19860,23.345
19920,11.597
19980,11.852
20040,11.938
20100,23.097
20160,11.972
20220,12.323
20280,12.145
20340,23.542
20400,11.841
20460,11.962
20520,11.776
20580,22.093
20640,11.824
20700,11.821
20760,11.86
20820,22.214
20880,12.028
20940,11.988
21000,11.994
21060,22.408
21120,12.199
21180,12.206
21240,12.382
21300,24.683
21360,12.641
21420,12.36
21480,12.225
21540,24.205
21600,12.471
21660,12.547
21720,12.624
21780,23.565
21840,12.426
21900,12.478
21960,12.556
22020,25.266
22080,12.707
22140,12.826
22200,12.767
22260,23.746
22320,12.929
22380,12.874
22440,13.692
22500,22.952
22560,13.094
22620,13.19
22680,28.203
22740,13.655
22800,12.993
22860,13.248
22920,26.378
22980,14.139
23040,13.05
23100,25.317
23160,13.34
23220,13.144
23280,13.193
23340,26.54
23400,13.853
23460,13.711
23520,30.214
23580,13.338
23640,13.341
23700,20.377
23760,18.511
23820,13.422
23880,13.489
23940,26.476
24000,13.568
24060,13.622
24120,19.092
24180,19.797
24240,13.86
24300,14.02
24360,26.841
24420,13.88
24480,13.937
24540,26.221
24600,14.351
24660,14.152
24720,14.084
24780,27.391
24840,14.336
24900,14.892
24960,28.027
25020,14.204
25080,14.356
25140,27.996
25200,15.024
25260,14.913
25320,28.142
25380,14.392
25440,15.071
25500,25.827
25560,17.527
25620,14.737
25680,16.855
25740,28.359
25800,15.291
25860,16.773
25920,31.051
25980,16.256
26040,29.627
26100,16.029
26160,18.97
26220,36.497
26280,16.328
26340,30.497
26400,15.962
26460,16.867
26520,35.932
26580,15.484
26640,15.609
26700,30.896
26760,15.7
26820,15.361
26880,30.5
26940,15.579
27000,20.711
27060,26.831
27120,16.02
27180,28.839
27240,15.356
27300,15.447
27360,29.852
27420,15.346
27480,15.341
27540,31.204
27600,16.823
27660,15.755
27720,30.549
27780,15.542
27840,15.493
27900,29.656
27960,15.534
28020,15.653
28080,29.742
28140,15.784
28200,18.04
28260,39.053
28320,17.655
28380,32.049
28440,16.917
28500,21.918
28560,25.333
28620,16.505
28680,31.637
28740,16.377
28800,16.626
28860,32.192
28920,16.652
28980,16.543
29040,30.31
29100,16.375
29160,22.896
29220,22.248
29280,16.488
29340,29.081
29400,16.459
29460,16.593
29520,28.086
29580,16.674
29640,16.664
29700,28.361
29760,17.753
29820,17.004
29880,37.762
29940,17.015
30000,32.759
30060,18.053
30120,17.546
30180,32.917
30240,17.363
30300,32.985
30360,17.36
30420,17.452
30480,33.428
30540,17.512
30600,33.433
30660,18.368
30720,18.299
30780,34.788
30840,17.827
30900,33.949
30960,17.817
31020,18.06
31080,34.187
31140,18.089
31200,34.191
31260,20.385
31320,36.316
31380,19.15
31440,18.618
31500,34.999
31560,18.568
31620,34.847
31680,18.611
31740,34.429
31800,19.016
31860,18.622
31920,34.804
31980,18.703
32040,36.089
32100,19.111
32160,37.342
32220,19.127
32280,35.227
32340,20.202
32400,19.47
32460,36.085
32520,19.702
32580,36.371
32640,19.463
32700,35.599
32760,19.807
32820,36.208
32880,19.543
32940,20.476
33000,34.953
33060,19.841
33120,36.669
33180,19.787
33240,36.68
33300,19.677
33360,36.398
33420,20.002
33480,37.272
33540,20.085
33600,35.811
33660,20.818
33720,20.449
33780,36.595
33840,20.085
33900,36.69
33960,20.4
34020,36.739
34080,20.378
34140,37.067
34200,22.305
34260,39.522
34320,21.778
34380,38.609
34440,23.403
34500,38.944
34560,21.126
34620,38.458
34680,21.016
34740,38.723
34800,21.332
34860,39.146
34920,21.895
34980,38.979
35040,21.129
35100,38.587
35160,21.244
35220,38.195
35280,21.375
35340,38.063
35400,21.396
35460,37.979
35520,21.457
35580,37.892
35640,21.699
35700,38.552
35760,21.703
35820,38.593
35880,21.834
35940,39.998
36000,21.864
36060,38.331
36120,21.726
36180,38.44
36240,22.012
36300,38.973
36360,22.028
36420,39.059
36480,21.827
36540,38.648
36600,21.802
36660,38.678
36720,22.031
36780,39.016
36840,22.141
36900,39.195
36960,24.047
37020,36.051
37080,26.09
37140,36.211
37200,36.584
37260,23.878
37320,38.829
37380,22.457
37440,38.5
37500,22.308
37560,38.57
37620,22.002
37680,39.331
37740,22.765
37800,39.871
37860,23.343
37920,37.186
37980,22.627
38040,41.817
38100,21.716
38160,40.158
38220,21.866
38280,38.492
38340,22.041
38400,36.322
38460,21.872
38520,38.774
38580,22.856
38640,41.479
38700,22.642
38760,37.902
38820,21.782
38880,38.288
38940,22.423
39000,38.752
39060,27.625
39120,33.552
39180,40.961
39240,23.704
39300,42.32
39360,25.97
39420,39.234
39480,23.214
39540,40.533
39600,23.857
39660,42.313
39720,42.324
39780,24.326
39840,43.056
39900,27.776
39960,40.741
40020,49.698
40080,24.945
40140,43.042
40200,38.131
40260,30.307
40320,44.892
40380,25.441
40440,46.705
40500,45.397
40560,25.815
40620,43.452
40680,38.382
40740,31.055
40800,45.464
40860,26.118
40920,44.128
40980,44.009
41040,25.92
41100,45.597
41160,45.786
41220,25.918
41280,45.081
41340,34.843
41400,34.543
41460,46.796
41520,25.452
41580,43.663
41640,44.956
41700,25.555
41760,41.261
41820,24.394
41880,41.873
41940,42.21
42000,25.103
42060,42.563
42120,23.763
42180,40.202
42240,24.519
42300,43.097
42360,42.239
42420,31.398
42480,47.809
42540,47.253
42600,26.145
42660,44.082
42720,43.43
42780,26.834
42840,48.232
42900,46.863
42960,27.94
43020,47.931
43080,48.635
43140,27.635
43200,46.536
43260,44.233
43320,28.722
43380,44.584
43440,43.6
43500,26.83
43560,43.716
43620,41.341
43680,33.022
43740,41.886
43800,26.703
43860,44.303
43920,41.665
43980,26.16
44040,43.089
44100,25.479
44160,42.198
44220,45.468
44280,27.122
44340,46.109
44400,46.122
44460,27.823
44520,48.4
44580,47.187
44640,28.046
44700,45.565
44760,45.458
44820,28.996
44880,44.946
44940,47.743
45000,29.236
45060,48.457
45120,44.857
45180,25.43
45240,38.646
45300,26.683
45360,33.374
45420,28.41
45480,34.751
45540,43.846
45600,25.817
45660,39.334
45720,26.32
45780,38.86
45840,25.703
45900,45.768
45960,46.404
46020,27.452
46080,41.913
46140,38.955
46200,25.268
46260,35.976
46320,25.337
46380,36.853
46440,25.452
46500,36.548
46560,25.538
46620,36.378
46680,25.589
46740,36.254
46800,25.631
46860,36.514
46920,25.695
46980,36.576
47040,25.757
47100,36.746
47160,32.19
47220,29.466
47280,37.349
47340,26.589
47400,37.355
47460,26.098
47520,37.0
47580,26.117
47640,37.377
47700,26.121
47760,37.21
47820,26.325
47880,37.323
47940,26.272
48000,37.274
48060,36.132
48120,26.577
48180,37.603
48240,26.531
48300,37.54
48360,26.468
48420,38.233
48480,26.664
48540,38.557
48600,26.567
48660,38.921
48720,37.165
48780,26.764
48840,37.993
48900,26.766
48960,40.468
49020,27.74
49080,43.35
49140,43.048
49200,27.7
49260,43.133
49320,27.686
49380,43.058
49440,43.411
49500,28.887
49560,44.118
49620,45.864
49680,29.69
49740,44.681
49800,46.896
49860,33.08
49920,47.271
49980,43.12
50040,27.579
50100,41.354
50160,40.542
50220,27.715
50280,40.884
50340,27.244
50400,39.02
50460,27.408
50520,39.469
50580,39.896
50640,27.322
50700,39.313
50760,28.596
50820,42.913
50880,41.547
50940,27.515
51000,38.002
51060,27.626
51120,37.488
51180,27.717
51240,38.591
51300,42.123
51360,28.207
51420,40.561
51480,27.743
51540,39.708
51600,33.537
51660,33.301
51720,39.063
51780,27.846
51840,38.105
51900,27.859
51960,38.464
52020,28.788
52080,39.706
52140,41.334
52200,28.803
52260,40.812
52320,28.15
52380,38.796
52440,39.227
52500,28.413
