SimulatedTime(s),RealTime(s)
100,1.147
110,1.145
120,1.151
130,1.158
140,1.179
150,1.164
160,1.17
170,1.177
180,1.18
190,1.183
200,1.192
210,1.201
220,1.182
230,1.211
240,1.213
250,1.222
260,1.242
270,1.23
280,1.237
290,1.243
300,1.247
310,1.255
320,1.261
330,1.267
340,1.271
350,1.275
360,1.282
370,1.285
380,1.273
390,1.299
400,1.299
410,1.304
420,1.314
430,1.319
440,1.348
450,1.343
460,1.333
470,1.329
480,1.341
490,1.354
500,1.382
510,1.36
520,1.363
530,1.372
540,1.377
550,1.375
560,1.388
570,1.39
580,1.393
590,1.398
600,1.407
610,1.409
620,1.416
630,1.44
640,1.428
650,1.43
660,1.436
670,1.444
680,1.447
690,1.451
700,1.456
710,1.461
720,1.468
730,1.472
740,1.512
750,1.486
760,1.49
770,1.493
780,1.501
790,1.504
800,1.514
810,1.517
820,1.521
830,1.564
840,1.572
850,1.582
860,1.581
870,1.548
880,1.564
890,1.579
900,1.576
910,1.597
920,1.578
930,1.582
940,1.587
950,1.587
960,1.596
970,1.601
980,1.603
990,1.628
1000,1.613
1010,1.622
1020,1.63
1030,1.632
1040,1.64
1050,1.645
1060,1.62
1070,1.658
1080,1.659
1090,1.653
1100,1.671
1110,1.675
1120,1.664
1130,1.683
1140,1.693
1150,1.669
1160,1.702
1170,1.707
1180,1.697
1190,1.716
1200,1.715
1210,1.762
1220,1.848
1230,2.098
1240,2.252
1250,1.739
1260,1.813
1270,1.806
1280,1.768
1290,1.773
1300,1.781
1310,1.788
1320,1.788
1330,1.794
1340,1.803
1350,1.806
1360,1.809
1370,1.838
1380,1.819
1390,1.832
1400,1.805
1410,1.837
1420,1.843
1430,1.846
1440,1.856
1450,1.874
1460,1.86
1470,1.887
1480,1.883
1490,1.881
1500,1.887
1510,1.892
1520,1.938
1530,2.44
1540,4.138
1550,3.092
1560,2.067
1570,1.986
1580,1.909
1590,1.903
1600,1.934
1610,1.976
1620,1.945
1630,1.95
1640,1.944
1650,1.957
1660,1.967
1670,1.971
1680,1.978
1690,1.988
1700,1.986
1710,1.993
1720,2.002
1730,2.009
1740,2.011
1750,2.018
1760,2.022
1770,2.061
1780,2.028
1790,2.036
1800,2.041
1810,5.118
1820,5.251
1830,2.826
1840,2.056
1850,2.081
1860,2.071
1870,2.077
1880,2.079
1890,2.083
1900,2.116
1910,2.098
1920,2.105
1930,2.107
1940,2.111
1950,2.114
1960,2.118
1970,2.137
1980,2.14
1990,2.149
2000,2.146
2010,2.146
2020,2.178
2030,2.165
2040,2.17
2050,2.176
2060,3.54
2070,5.901
2080,4.028
2090,2.204
2100,2.211
2110,2.218
2120,2.229
2130,2.209
2140,2.256
2150,2.24
2160,2.238
2170,2.249
2180,2.243
2190,2.255
2200,2.253
2210,2.265
2220,2.26
2230,2.275
2240,2.28
2250,2.28
2260,2.269
2270,2.288
2280,2.3
2290,2.351
2300,6.147
2310,6.294
2320,2.341
2330,2.325
2340,2.308
2350,2.329
2360,2.333
2370,2.339
2380,2.334
2390,2.353
2400,2.36
2410,2.361
2420,2.343
2430,2.401
2440,2.385
2450,2.389
2460,2.392
2470,2.387
2480,2.407
2490,2.405
2500,2.411
2510,2.418
2520,6.974
2530,5.74
2540,2.425
2550,2.467
2560,2.437
2570,2.45
2580,2.518
2590,2.456
2600,2.458
2610,2.47
2620,2.473
2630,2.488
2640,2.479
2650,2.502
2660,2.494
2670,2.492
2680,2.498
2690,2.512
2700,2.538
2710,2.513
2720,2.495
2730,7.35
2740,5.64
2750,2.552
2760,2.548
2770,2.549
2780,2.547
2790,2.565
2800,2.565
2810,2.597
2820,2.579
2830,2.585
2840,2.593
2850,2.596
2860,2.604
2870,2.607
2880,2.615
2890,2.62
2900,2.623
2910,2.627
2920,2.637
2930,8.013
2940,5.413
2950,2.668
2960,2.655
2970,2.656
2980,2.656
2990,2.662
3000,2.688
3010,2.716
3020,2.677
3030,2.701
3040,2.695
3050,2.707
3060,2.697
3070,2.737
3080,2.701
3090,2.722
3100,2.698
3110,2.745
3120,5.151
3130,8.716
3140,2.748
3150,2.756
3160,2.764
3170,2.762
3180,2.771
3190,2.777
3200,2.778
3210,2.785
3220,2.786
3230,2.804
3240,2.812
3250,2.802
3260,2.814
3270,2.809
3280,2.832
3290,2.83
3300,2.843
3310,9.07
3320,4.349
3330,2.875
3340,2.89
3350,2.841
3360,2.861
3370,2.87
3380,2.868
3390,2.867
3400,2.884
3410,2.879
3420,2.877
3430,2.886
3440,2.887
3450,2.906
3460,2.914
3470,2.916
3480,2.924
3490,10.423
3500,3.529
3510,2.944
3520,2.958
3530,2.948
3540,2.961
3550,2.978
3560,2.96
3570,2.981
3580,3.014
3590,2.995
3600,3.003
